comment,sentiment
"I love this new feature on Instagram! It's amazing.",positive
"This Facebook update is terrible, everything is broken.",negative
"Just another day, nothing special happening.",neutral
"Wow, this post made my day! So inspiring.",positive
"Why does Facebook keep changing things? It's annoying.",negative
"Pretty good content, I guess.",neutral
"Absolutely fantastic! Can't wait for more.",positive
"This is the worst app ever, uninstalling now.",negative
"Neutral feelings about this update.",neutral
"Great job on the new design!",positive
"Facebook is so slow today, frustrating.",negative
"It's okay, not great but not bad.",neutral
"Loving the new filters on Instagram!",positive
"Disappointed with the latest changes.",negative
"No strong opinion on this.",neutral
"This video is hilarious! 😂",positive
"Instagram ads are getting out of control.",negative
"Standard social media experience.",neutral
"Beautiful photos, well done!",positive
"Can't stand the constant notifications.",negative
"It's fine, I suppose.",neutral
"Such a creative post, love it!",positive
"Facebook privacy issues are concerning.",negative
"Nothing to complain or praise.",neutral
"Excited for the upcoming features!",positive
"This app crashes all the time.",negative
"Mediocre at best.",neutral
"Incredible content, keep it up!",positive
"Instagram algorithm is biased.",negative
"Just scrolling through, meh.",neutral
